iter	Logloss
0	0.6604980761
1	0.6344009559
2	0.6140589107
3	0.595274154
4	0.5733339786
5	0.5545169626
6	0.5359825546
7	0.5201222871
8	0.5036398552
9	0.4898591468
10	0.4766731363
11	0.4674278646
12	0.455899068
13	0.4486002115
14	0.4403995333
15	0.4327849321
16	0.4231881375
17	0.4132736405
18	0.4083414309
19	0.4027666931
20	0.3954927969
21	0.3916732014
22	0.3860056382
23	0.3816456646
24	0.3776393589
25	0.3723316334
26	0.3668606608
27	0.3632866432
28	0.3580955645
29	0.355389145
30	0.3515328274
31	0.3473186849
32	0.3441853752
33	0.341091079
34	0.3367809307
35	0.3335442121
36	0.3299972559
37	0.3261936776
38	0.3241357107
39	0.3216668229
40	0.3192868356
41	0.3174407137
42	0.3154872779
43	0.3119829308
44	0.3087926052
45	0.3072321094
46	0.3053164768
47	0.3023604277
48	0.3007112547
49	0.2983379956
50	0.2969072964
51	0.2947435324
52	0.2925423238
53	0.2902431781
54	0.2877560938
55	0.2859578637
56	0.2840776631
57	0.2828299856
58	0.2796971786
59	0.2788142585
60	0.2768358991
61	0.2755800908
62	0.2738159733
63	0.2717550465
64	0.2688198418
65	0.2669931775
66	0.2656749265
67	0.2636431284
68	0.2621259685
69	0.260835232
70	0.2601167963
71	0.2584876899
72	0.2572634967
73	0.2552561245
74	0.2537752829
75	0.2520870938
76	0.2499898504
77	0.2494139574
78	0.2488855905
79	0.2468999761
80	0.2459606458
81	0.2455917432
82	0.2443425698
83	0.2431490794
84	0.2422908672
85	0.2413174899
86	0.2406118927
87	0.2392568854
88	0.2382186815
89	0.2367862882
90	0.235263259
91	0.2342398791
92	0.2330964529
93	0.2316539457
94	0.2300848862
95	0.2290637084
96	0.2272321418
97	0.2267780682
98	0.2248311936
99	0.2236741085
100	0.2226448481
101	0.2208631306
102	0.219761567
103	0.219095835
104	0.2179206548
105	0.2162703746
106	0.2149499684
107	0.2141228461
108	0.2125451748
109	0.2113140348
110	0.2108381954
111	0.209696685
112	0.2082368743
113	0.2069402782
114	0.2057412977
115	0.2054521807
116	0.204199727
117	0.2031613542
118	0.202261454
119	0.2013729218
120	0.1996262499
121	0.1992250295
122	0.1980608474
123	0.1976118678
124	0.1965947579
125	0.1953817728
126	0.1939612197
127	0.1924961631
128	0.1909746278
129	0.1906101625
130	0.1893712751
131	0.1882023822
132	0.1863715226
133	0.18531748
134	0.1845287169
135	0.1837681297
136	0.1829598086
137	0.1819472436
138	0.1817969729
139	0.1802114911
140	0.1785755598
141	0.1775662846
142	0.1761430282
143	0.1748038996
144	0.1738060973
145	0.1727952249
146	0.1726491767
147	0.171691955
148	0.1700321653
149	0.1694826171
150	0.1688748519
151	0.1680236152
152	0.1677966587
153	0.1676500732
154	0.1675964991
155	0.1671030424
156	0.1662664945
157	0.1647685559
158	0.1647191887
159	0.1644557133
160	0.1641954563
161	0.1640622796
162	0.1638448276
163	0.1636308032
164	0.1626292146
165	0.1620159165
166	0.1605614341
167	0.1595942414
168	0.1592223693
169	0.1589771905
170	0.1580372356
171	0.157810571
172	0.1576956154
173	0.1563607705
174	0.1563234495
175	0.155543025
176	0.1552679038
177	0.1540282948
178	0.153995141
179	0.1539504548
180	0.153243187
181	0.1523892839
182	0.1511900397
183	0.1511111963
184	0.1503430975
185	0.1493473357
186	0.1485435198
187	0.147263945
188	0.1465452963
189	0.1465136174
190	0.1460407524
191	0.1459137821
192	0.145224526
193	0.1444452813
194	0.1442554195
195	0.1440620454
196	0.1439063091
197	0.1427950965
198	0.1424245319
199	0.1416673325
200	0.1406909254
201	0.1406021159
202	0.1400387688
203	0.1394948579
204	0.139414156
205	0.1389207127
206	0.1388189347
207	0.1379405434
208	0.1377344706
209	0.1375204917
210	0.1373375246
211	0.1366522731
212	0.1365687312
213	0.136544009
214	0.1354476807
215	0.1352731178
216	0.135247767
217	0.1351346475
218	0.1350343422
219	0.1339537092
220	0.1338733923
221	0.1336550667
222	0.1330037159
223	0.1323213534
224	0.1321463756
225	0.1317595719
226	0.1317367348
227	0.1312432727
228	0.1312187895
229	0.1307901899
230	0.1307074195
231	0.1301672304
232	0.129208321
233	0.1291855105
234	0.1288806805
235	0.1285882301
236	0.1280464179
237	0.1278887059
238	0.1278230342
239	0.1277257879
240	0.1269916589
241	0.1269387444
242	0.1268667061
243	0.1268484152
244	0.1256199192
245	0.1248929766
246	0.1243770098
247	0.1237384895
248	0.1235347339
249	0.1230807159
250	0.1230472675
251	0.122168936
252	0.1218330896
253	0.1211037307
254	0.1210824474
255	0.1207275233
256	0.1204651715
257	0.1198096992
258	0.1194683453
259	0.1193283564
260	0.1188806087
261	0.11828769
262	0.1182600161
263	0.1179508916
264	0.1175348838
265	0.1175044395
266	0.1166845009
267	0.1165046932
268	0.1158663455
269	0.1157872213
270	0.1149681017
271	0.1142913733
272	0.1139046521
273	0.1138749548
274	0.1131944175
275	0.1124724005
276	0.1115525954
277	0.1115354931
278	0.1112145667
279	0.1106208194
280	0.1105118073
281	0.1104617406
282	0.1095073278
283	0.1094813903
284	0.1090394346
285	0.1090235494
286	0.1089683478
287	0.1088910481
288	0.1088435792
289	0.1081978374
290	0.1077372834
291	0.1075215784
292	0.1075052775
293	0.1067687078
294	0.1066149754
295	0.1058269542
296	0.1057573461
297	0.105732399
298	0.1056647134
299	0.1053831119
