iter	Passed	Remaining
0	56	16934
1	57	8534
2	57	5734
3	58	4320
4	58	3472
5	59	2909
6	59	2505
7	60	2203
8	60	1965
9	61	1775
10	61	1619
11	62	1489
12	63	1392
13	63	1296
14	63	1213
15	64	1144
16	64	1080
17	65	1023
18	66	976
19	66	931
20	67	900
21	68	862
22	68	829
23	69	799
24	70	779
25	71	751
26	71	725
27	72	702
28	72	679
29	73	659
30	73	639
31	74	620
32	75	608
33	75	591
34	76	575
35	76	560
36	77	547
37	77	534
38	77	521
39	79	514
40	79	502
41	80	491
42	80	481
43	80	471
44	81	461
45	81	451
46	82	443
47	82	434
48	83	426
49	83	418
50	84	410
51	84	403
52	85	396
53	85	389
54	85	382
55	86	376
56	86	369
57	87	363
58	88	360
59	88	354
60	89	349
61	89	343
62	90	338
63	90	333
64	90	328
65	91	323
66	91	318
67	92	313
68	92	309
69	92	305
70	93	300
71	93	296
72	94	292
73	94	288
74	94	284
75	95	280
76	95	277
77	96	273
78	96	269
79	96	266
80	97	263
81	97	259
82	98	256
83	98	253
84	98	250
85	99	246
86	99	243
87	99	240
88	100	237
89	100	235
90	101	232
91	101	229
92	101	226
93	102	223
94	102	221
95	102	218
96	103	216
97	103	213
98	104	211
99	104	208
100	104	206
101	105	204
102	105	201
103	105	199
104	106	197
105	106	194
106	106	192
107	107	190
108	107	188
109	107	186
110	108	184
111	108	182
112	108	180
113	109	178
114	109	176
115	109	174
116	110	172
117	110	170
118	110	168
119	111	166
120	111	164
121	111	163
122	112	161
123	112	159
124	112	157
125	113	156
126	113	154
127	113	152
128	114	151
129	114	149
130	114	148
131	115	146
132	115	144
133	115	143
134	116	141
135	116	140
136	116	138
137	116	137
138	117	135
139	117	134
140	117	132
141	118	131
142	118	130
143	118	128
144	119	127
145	119	125
146	119	124
147	119	123
148	120	121
149	120	120
150	120	119
151	121	117
152	121	116
153	121	115
154	122	114
155	122	113
156	122	111
157	122	110
158	123	109
159	123	108
160	123	106
161	124	105
162	124	104
163	124	103
164	124	102
165	125	101
166	125	99
167	125	98
168	126	97
169	126	96
170	126	95
171	126	94
172	127	93
173	127	92
174	127	91
175	128	90
176	128	89
177	128	88
178	128	87
179	129	86
180	129	85
181	129	84
182	130	83
183	130	82
184	130	81
185	130	80
186	131	79
187	131	78
188	131	77
189	131	76
190	132	75
191	132	74
192	132	73
193	132	72
194	133	71
195	133	70
196	133	69
197	134	69
198	134	68
199	134	67
200	134	66
201	135	65
202	135	64
203	135	63
204	135	62
205	136	62
206	136	61
207	136	60
208	136	59
209	137	58
210	137	57
211	137	57
212	138	56
213	138	55
214	138	54
215	139	54
216	139	53
217	140	52
218	140	51
219	140	51
220	140	50
221	141	49
222	141	48
223	141	48
224	141	47
225	142	46
226	142	45
227	142	45
228	142	44
229	143	43
230	143	42
231	143	42
232	144	41
233	144	40
234	144	39
235	144	39
236	145	38
237	145	37
238	145	37
239	145	36
240	146	35
241	146	35
242	146	34
243	147	33
244	147	33
245	147	32
246	147	31
247	148	31
248	148	30
249	148	29
250	148	29
251	149	28
252	149	27
253	149	27
254	149	26
255	150	25
256	150	25
257	150	24
258	150	23
259	151	23
260	151	22
261	151	22
262	152	21
263	152	20
264	152	20
265	152	19
266	153	18
267	153	18
268	153	17
269	153	17
270	154	16
271	154	15
272	154	15
273	155	14
274	155	14
275	155	13
276	155	12
277	156	12
278	156	11
279	156	11
280	156	10
281	157	10
282	157	9
283	157	8
284	158	8
285	158	7
286	158	7
287	158	6
288	159	6
289	159	5
290	159	4
291	159	4
292	160	3
293	160	3
294	160	2
295	161	2
296	161	1
297	161	1
298	161	0
299	162	0
